species,document,score,category,status,reasoning
Pardosa_abagensis,Nadolny_A_A__Kovblyuk_M_M_2012_Members_of_Pardosa_amentata_and_P_lugubris_species_groups_in_Crimea_and_Caucasus_with_notes_on_P_abagensis_Aranei_Lycosidae,7.9,4,ok,"## Nadolny_A_A__Kovblyuk_M_M_2012_Members_of_Pardosa_amentata_and_P_lugubris_species_groups_in_Crimea_and_Caucasus_with_notes_on_P_abagensis_Aranei_Lycosidae.pdf### Dimension Scores| Dimension | Score | Justification ||---|---|---|| Pardosa relevance (25%) | 9 | The entire document is focused exclusively on Pardosa (four species: P. abagensis, P. amentata, P. caucasica, P. lugubris), with detailed redescriptions, species group diagnoses, and phenology — 100% Pardosa content. || Morphological description depth (25%) | 8 | Descriptions combine precise measurements (total length, carapace, palp and leg segment lengths in mm) with detailed structural terminology (tegular apophysis, terminal apophysis, conductor, embolus, bulbus, epigyne, anterior epigynal pocket, septum, cymbium, chelicerae, femur, tibia, metatarsus, patella, tarsus) across multiple species. || Genital figure quality (20%) | 9 | Multiple figure series cover male palps and bulbus in ventral and retrolateral views (Figs 11–18, 23–30, 31–38) and epigynes in ventral and dorsal views (Figs 39–44, 45–59) for all four species, providing comprehensive multi-view genital illustration for both sexes. || Taxonomic originality (15%) | 7 | No new species described, but thorough illustrated redescriptions of four poorly documented species from new material, plus the erection of a new species group (P. abagensis group) with formal diagnosis and expanded diagnoses for P. amentata and P. lugubris groups — substantive revisionary contribution scored near the top of the 5–7 band. || Supporting data (10%) | 6 | Formal examined material lists with precise GPS coordinates and collection data are provided for all species; a distribution/habitat comparison table (Table 2) and phenology chart (Fig. 60) are included, but no distribution map and no molecular data. || Text/OCR quality (5%) | 4 | garbled_ratio = 1.0 and force_ocr = true; although content is largely recoverable (species descriptions, tables, figures readable), tabular leg-segment data is partially garbled (mixed symbols, bracket noise in measurement tables), reducing reliability of those sections. |### Final ScoreWeighted total: (9×0.25) + (8×0.25) + (9×0.20) + (7×0.15) + (6×0.10) + (4×0.05)= 2.25 + 2.00 + 1.80 + 1.05 + 0.60 + 0.20= **7.90**Category: **4**"
Pardosa_abagensis,Ovtsharenko_V_I_1979_Spiders_of_the_families_Gnaphosidae_Thomisidae_Lycosidae_Aranei_in_the_Great_Caucasus,6.9,3,ok,"## Ovtsharenko_V_I_1979_Spiders_of_the_families_Gnaphosidae_Thomisidae_Lycosidae_Aranei_in_the_Great_Caucasus.pdf### Dimension Scores| Dimension | Score | Justification ||---|---|---|| Pardosa relevance (25%) | 7 | Pardosa is one of three families treated (Gnaphosidae, Thomisidae, Lycosidae) with multiple new species described, but Xysticus and Oxyptila receive comparable treatment; Pardosa chunks represent roughly 15–20% of the total content. || Morphological description depth (25%) | 7 | Modern morphological vocabulary is present (эпигина/epigyne, пальпа/palp, эмболюс/embolus, бульбус/bulb, септум, тегулярный отросток/tegular apophysis, кондуктор) combined with quantitative measurements (body length, carapace length and width in mm for both sexes across multiple species), though descriptions of internal structure (spermathecae, vulva) are limited. || Genital figure quality (20%) | 8 | Figure captions explicitly reference male palps and female epigynes for multiple Pardosa species (figs. 22–27: P. abagensis, P. caucasica, P. lugubris palps and epigynes; figs. 28–31: P. buchari palp at multiple magnifications including ×600 SEM views; fig. 29: P. buchari epigyne), providing both sexes across multiple species with varied magnifications. || Taxonomic originality (15%) | 7 | Three new Pardosa species are described (P. abagensis, P. buchari, P. caucasica) with full diagnoses and comparisons to related taxa; two additional Pardosa species (P. incerta, P. tasevi) are recorded for the USSR for the first time, which is substantively valuable. || Supporting data (10%) | 6 | A structured distributional table by altitudinal belt covering all 67 species is provided, along with formal examined material lists with dated collection localities and altitudes for each new species, but no distribution map and no molecular data. || Text/OCR quality (5%) | 3 | garbled_ratio of 0.867 with force_ocr=true indicates heavily OCR-processed text; the sampled chunks are largely readable in Russian but contain garbled passages (e.g., the figure-10 caption chunk is completely scrambled), consistent with a noisy older document scan. |### Final ScoreWeighted total: (7×0.25) + (7×0.25) + (8×0.20) + (7×0.15) + (6×0.10) + (3×0.05)= 1.75 + 1.75 + 1.60 + 1.05 + 0.60 + 0.15 = **6.90**Category: **3**"
Pardosa_acorensis,Denis_J_1964a_Spiders_from_the_Azores_and_Madeira,5.2,3,ok,"## Denis_J_1964a_Spiders_from_the_Azores_and_Madeira.pdf### Dimension Scores| Dimension | Score | Justification ||---|---|---|| Pardosa relevance (25%) | 5 | Pardosa is treated over roughly 3–4 pages (proxima, one new species albiventris) out of 35 pages, with the bulk of the work covering a multi-genus Azorean/Madeiran fauna checklist; Pardosa chunks represent approximately 10–15% of total content. || Morphological description depth (25%) | 5 | A morphological description of the new species *P. albiventris* is present with body length measurements (cephal. 3 mm, total length 8.5 mm) and some structural terms (epigyne, metatarsi, falces), but the description is brief and lacks the depth of multi-structure quantitative treatment required for a higher score. || Genital figure quality (20%) | 5 | Figure 11 (epigyne of *P. albiventris*) is referenced in the text, and the broader figure list confirms epigyne illustrations for other species; however, only one Pardosa genital figure is mentioned, with no male palp figures for Pardosa, limiting coverage to a single structure and sex. || Taxonomic originality (15%) | 5 | One new Pardosa species (*P. albiventris*) is described with a brief diagnosis; this meets the lower bound of the 5–7 band but lacks comparison to closely related taxa beyond a passing remark about *P. proxima*. || Supporting data (10%) | 5 | Detailed locality data for examined specimens are listed in prose for each species, and a faunal checklist table covering all species by island is included; no distribution map or molecular data are present. || Text/OCR quality (5%) | 9 | garbled_ratio = 0.0, force_ocr = false; text is well-structured and clean throughout, with only minor OCR artifacts (e.g., ""Ó"" for ♂, ""c;>"" for ♀) from the older typography. |### Final ScoreWeighted total: (5×0.25) + (5×0.25) + (5×0.20) + (5×0.15) + (5×0.10) + (9×0.05) = 1.25 + 1.25 + 1.00 + 0.75 + 0.50 + 0.45 = **5.20**Category: **3**"
Pardosa_acorensis,Roewer_C_F_1959b_Araneae_Lycosaeformia_II_Lycosidae,6.55,3,ok,"## Roewer_C_F_1959b_Araneae_Lycosaeformia_II_Lycosidae.pdf### Dimension Scores| Dimension | Score | Justification ||---|---|---|| Pardosa relevance (25%) | 7 | Pardosa is treated as one of several genera within a large Lycosidae monograph (Pardosinae + Lycosinae); the first ~150 pages are substantially Pardosa-focused with ~80+ species entries, but the remaining ~370 pages cover Evippeae and Lycosinae genera (Allocosa, Hogna, Avicosa, etc.), so Pardosa chunks represent roughly 15–25% of the total content. || Morphological description depth (25%) | 6 | Each species entry includes structured eye-ratio measurements, leg spine formulae, and body-length data in mm, plus epigyne/palp descriptions referencing Lamella characteristica, Septum, and Chitinbögen; however, descriptions are formulaic and concise rather than deeply integrative, and palp structure for many species is recorded as ""unknown."" || Genital figure quality (20%) | 6 | Multiple figure captions confirm epigyne and palp (Lamella characteristica) illustrations for both sexes across many Pardosa species (e.g., Figs. 3–4, 16–17, 50, 56, 77, 79); however, caption text is often garbled or minimal, and multi-view coverage (prolateral, retrolateral, etc.) is not explicitly confirmed in captions. || Taxonomic originality (15%) | 8 | Numerous new Pardosa species are described (nov. spec. entries include lusingana, mabweana, wittei, ganzania, lawrencei, tangana, cluens, versuta, pelenaea, and others), clearly exceeding 6 new Pardosa species with diagnosis and comparison. || Supporting data (10%) | 5 | Formal lists of examined specimens with collection localities and museum accessions are provided for most species, but no distribution maps or molecular data are present. || Text/OCR quality (5%) | 8 | Garbled ratio is 0.008 and force_ocr is false; text is largely clean German with minor OCR noise in figure captions and some diacritics, but content is fully extractable. |### Final ScoreWeighted total: (7 × 0.25) + (6 × 0.25) + (6 × 0.20) + (8 × 0.15) + (5 × 0.10) + (8 × 0.05)= 1.75 + 1.50 + 1.20 + 1.20 + 0.50 + 0.40 = **6.55**Category: **3**"
Pardosa_acorensis,Simon_E_1883_Études_arachnologiques_14e_Mémoire_XXI_Matériaux_pour_servir_à_la_faune_arachnologique_des_îles_de_lOcéan_Atlantique_Açores_Madère_Salvages_Canaries_Cap_Vert_Sainte-Hélène_et_Bermudes,3.7,2,ok,"## Simon_E_1883_Études_arachnologiques_14e_Mémoire_XXI_Matériaux_pour_servir_à_la_faune_arachnologique_des_îles_de_lOcéan_Atlantique_Açores_Madère_Salvages_Canaries_Cap_Vert_Sainte-Hélène_et_Bermudes.pdf### Dimension Scores| Dimension | Score | Justification ||---|---|---|| Pardosa relevance (25%) | 3 | Pardosa is mentioned with two new species (*P. acorensis* and *P. furtadoi*) in the Azores section, but this is a large multi-island fauna survey covering 170+ species across many families and archipelagos; Pardosa chunks represent well under 10% of total content. || Morphological description depth (25%) | 4 | Descriptions use modern morphological vocabulary (epigyne, patte-mâchoire/palp, patella, tibia, metatarsus, femur, chelicerae) with basic measurements (body length in mm), but descriptions are brief and lack detailed internal genital morphology; no measurements of leg segments or structured morphometric data. || Genital figure quality (20%) | 2 | No figure captions are captured in the pipeline (0 chunks with figures), and the single image has no caption referencing genital structures; the one plate reference (Pl. 8) appears to exist but covers many taxa across the whole work, with no confirmed caption describing Pardosa genitalia. || Taxonomic originality (15%) | 5 | Two new Pardosa species (*P. acorensis* and *P. furtadoi*) are described for the Azores, with brief comparisons to *P. proxima*; the descriptions are present but short and not comprehensive. || Supporting data (10%) | 4 | Locality data for Pardosa is mentioned in prose only (Ponta-Delgada, prairies) without structured specimen lists, distribution tables, or maps; the general species list at the end is a checklist but not a formal examined-material list. || Text/OCR quality (5%) | 8 | Garbled ratio is very low (0.017), no forced OCR, and chunks are highly readable with only minor OCR artifacts typical of 19th-century scanned French text. |### Final ScoreWeighted total: (3 × 0.25) + (4 × 0.25) + (2 × 0.20) + (5 × 0.15) + (4 × 0.10) + (8 × 0.05)= 0.75 + 1.00 + 0.40 + 0.75 + 0.40 + 0.40 = **3.70**Category: **2**"
Pardosa_acorensis,Wunderlich_J_1992a_Die_Spinnen-Fauna_der_Makaronesischen_Inseln_Taxonomie_Ökologie_Biogeographie_und_Evolution,4.5,2,ok,"## Wunderlich_J_1992a_Die_Spinnen-Fauna_der_Makaronesischen_Inseln_Taxonomie_Ökologie_Biogeographie_und_Evolution.pdf### Dimension Scores| Dimension | Score | Justification ||---|---|---|| Pardosa relevance (25%) | 3 | This is a large multi-genus Macaronesian spider fauna monograph covering hundreds of species across many families; Pardosa is represented by only 2–3 species entries (Pardosa fuscosoma n. sp., P. acorensis, synonymy of P. esperanzae/pseudoproxima), representing well under 5% of total content. || Morphological description depth (25%) | 5 | The monograph contains modern morphological vocabulary with quantitative measurements (body length, femur, tibia, metatarsus in mm) for many species, but the Pardosa-specific treatment is minimal — only brief synonymy and a figure caption for epigyne/vulva of P. fuscosoma n. sp.; depth for Pardosa specifically is shallow. || Genital figure quality (20%) | 5 | Fig. 725–726 explicitly references ""Pardosa fuscosoma n. sp., ♀, epigyne and vulva dorsal"" providing genital figures for at least one sex of one Pardosa species, but coverage is limited to a single species and single sex with only two views. || Taxonomic originality (15%) | 4 | One new Pardosa species (P. fuscosoma n. sp.) is described, and two synonymies established (P. esperanzae, P. pseudoproxima), but descriptions appear brief within a large multi-genus work with no comparative diagnosis or detailed description passages evident in the sampled chunks. || Supporting data (10%) | 5 | The monograph includes structured distribution checklists, specimen locality data in prose, and faunal tables, but no molecular data; for Pardosa specifically the supporting data is limited to brief material citations and distribution notes. || Text/OCR quality (5%) | 8 | Garbled ratio is very low (0.016), force_ocr is false, and most text chunks are readable with only minor OCR artifacts; the document is well-structured. |### Final ScoreWeighted total: (3 × 0.25) + (5 × 0.25) + (5 × 0.20) + (4 × 0.15) + (5 × 0.10) + (8 × 0.05)= 0.75 + 1.25 + 1.00 + 0.60 + 0.50 + 0.40 = **4.50**Category: **2**"
Pardosa_adustella,Izmailova_M_V_1980_Nekotorye_dannye_o_pauke_Evippa_sjostedti_Schenkel_1937_Araneae_Lycosidae,2.85,2,ok,"## Izmailova_M_V_1980_Nekotorye_dannye_o_pauke_Evippa_sjostedti_Schenkel_1937_Araneae_Lycosidae.pdf### Dimension Scores| Dimension | Score | Justification ||---|---|---|| Pardosa relevance (25%) | 1 | The document is entirely focused on *Evippa sjostedti* (genus Evippa, not Pardosa); no Pardosa mentions detected anywhere in the text. || Morphological description depth (25%) | 3 | Modern morphological vocabulary is present (carapace coloration, chelicerae, sternum, abdomen, epigyne structure described in prose) but descriptions are brief and largely qualitative with minimal quantitative measurements. || Genital figure quality (20%) | 5 | One figure caption explicitly references the epigyne (""Рис. Эпигина Evippa sjostedti Schenkel""), providing at least one genital structure illustration, but only a single view for the female and no male genital figures. || Taxonomic originality (15%) | 3 | No new species described; the contribution is a new country/territory record (first USSR record) with a brief comparison of epigyne morphology to previous descriptions by Schenkel and Loksa. || Supporting data (10%) | 3 | Locality data mentioned in prose (Molty, Bolshoy Lug, Lake Baikal region) but no structured specimen list, distribution table, or molecular data. || Text/OCR quality (5%) | 2 | `garbled_ratio` = 1.0 with forced OCR; text is partially readable but contains numerous OCR artifacts and broken characters throughout the chunks. |### Final ScoreWeighted total: (1×0.25) + (3×0.25) + (5×0.20) + (3×0.15) + (3×0.10) + (2×0.05)= 0.25 + 0.75 + 1.00 + 0.45 + 0.30 + 0.10 = **2.85**Category: **2**"
Pardosa_adustella,Izmailova_M_V_1989_Fauna_of_Spiders_of_South_Part_of_Eastern_Siberia,4.95,2,ok,"## Izmailova_M_V_1989_Fauna_of_Spiders_of_South_Part_of_Eastern_Siberia.pdf### Dimension Scores| Dimension | Score | Justification ||---|---|---|| Pardosa relevance (25%) | 5 | Pardosa is one of several families/genera treated in a broad multi-family Eastern Siberia fauna monograph; the Lycosidae section (pages ~11–24) contains Pardosa entries but the work spans Araneidae, Linyphiidae, Theridiidae, Gnaphosidae, Clubionidae, Thomisidae, Salticidae and more, placing Pardosa chunks well below 25% of total content. || Morphological description depth (25%) | 4 | Modern morphological vocabulary is used (epigyne, palp, bulb, spermathecae referenced as ""семеприемники"") and body length measurements in mm are provided, but structured, multi-character quantitative descriptions integrating leg segment measurements with internal genital structure detail are absent; descriptions are brief prose notes. || Genital figure quality (20%) | 6 | Multiple figure captions explicitly reference genital structures for Pardosa females (рис.13 P. adusta эпигина, рис.14 P. agrestis вульва, рис.17 P. chionophila эпигина, рис.18 P. fulvipes эпигина, рис.19 P. indecora эпигина, рис.20 P. lasciva эпигина, рис.21 P. lugubris эпигина, рис.22 P. lyrata эпигина, рис.23 P. prativaga sphagnicola вульва, рис.24 P. riparia эпигина, рис.27 Pardosa n.sp. вульва, рис.29 P. tesquorum эпигина), but male palp figures for Pardosa are absent and multi-view coverage per species is not demonstrated. || Taxonomic originality (15%) | 5 | One new Pardosa species (""Pardosa n.sp."", рис.27) appears to be described, with an epigyne figure, representing a single new species description; no revisions or synonymy work are evident. || Supporting data (10%) | 4 | Collection locality data are mentioned in prose for each species (district, region, date, habitat) but are not formatted as formal examined-material lists; no distribution maps or molecular data are present. || Text/OCR quality (5%) | 7 | garbled_ratio = 0.0, force_ocr = false; text is largely readable Russian with minor OCR artefacts (mixed Cyrillic/Latin characters in a few captions and species names), but overall content is well extractable. |### Final ScoreWeighted total: (5×0.25) + (4×0.25) + (6×0.20) + (5×0.15) + (4×0.10) + (7×0.05)= 1.25 + 1.00 + 1.20 + 0.75 + 0.40 + 0.35 = **4.95**Category: **2**"
Pardosa_adustella,Logunov_D_V__Marusik_Y_M_1995_Spiders_of_the_family_Lycosidae_Aranei_from_the_Sokhondo_Reserve_Chita_area_east_Siberia,7.2,3,ok,"## Logunov_D_V__Marusik_Y_M_1995_Spiders_of_the_family_Lycosidae_Aranei_from_the_Sokhondo_Reserve_Chita_area_east_Siberia.pdf### Dimension Scores| Dimension | Score | Justification ||---|---|---|| Pardosa relevance (25%) | 7 | The paper covers Lycosidae broadly (2 new Alopecosa + 2 new Pardosa spp.), with Pardosa receiving substantial but not exclusive treatment—roughly half the new species descriptions and revision of P. adustella are Pardosa-focused, placing it solidly in the 10–24% range of a multi-genus work with moderate Pardosa depth. || Morphological description depth (25%) | 7 | Descriptions combine quantitative measurements (carapace, abdomen, eye sizes and interdistances in mm) with detailed morphological terminology (tegular apophysis, embolus, terminal apophysis, conductor, epigyne, septum, spermathecae, receptacula) for both sexes of each new Pardosa species; descriptions are solid but relatively brief for an 8-page paper. || Genital figure quality (20%) | 8 | Multiple figure sets explicitly illustrate copulatory organs of Pardosa species (Figs. 13–24 for P. bukukun and P. schenkeli; Figs. 25–32 for P. baraan and P. tyshchenkoi; Figs. 33–37 for P. baraan, P. adustella, P. oljunae) with multi-view coverage (ventral, dorsal, apical, ventral-basal/lateral) for both male palps and female epigynes. || Taxonomic originality (15%) | 7 | Two new Pardosa species are described (P. bukukun sp.n. and P. baraan sp.n.) with full diagnoses and comparisons, plus a revision of P. adustella with a probable new synonymy (P. anchoroides syn.n.)—a substantive contribution within the 5–7 band. || Supporting data (10%) | 6 | Extensive examined material lists with precise collection localities, altitudes, and habitat data are provided for each species; a distribution map is included, but no molecular data. || Text/OCR quality (5%) | 9 | Garbled ratio is 0.0, force_ocr is false, and the text reads cleanly throughout with only minor OCR noise (occasional character substitutions), consistent with a well-digitised modern PDF. |### Final ScoreWeighted total: (7×0.25) + (7×0.25) + (8×0.20) + (7×0.15) + (6×0.10) + (9×0.05)= 1.75 + 1.75 + 1.60 + 1.05 + 0.60 + 0.45 = **7.20**Category: **3**"
Pardosa_adustella,Loksa_I_1965_Araneae_Ergebnisse_der_zoologischen_Forschungen_von_Dr_Z_Kaszab_in_der_Mongolei,3,2,ok,"## Loksa_I_1965_Araneae_Ergebnisse_der_zoologischen_Forschungen_von_Dr_Z_Kaszab_in_der_Mongolei.pdf### Dimension Scores| Dimension | Score | Justification ||---|---|---|| Pardosa relevance (25%) | 3 | This is a broad Mongolian spider fauna survey covering many families and genera (Linyphiidae, Araneidae, Lycosidae, Drassidae, Thomisidae, Salticidae, etc.); Pardosa is represented by only two named species (*P. ferruginea* and *P. calida*) receiving brief treatment of a few chunks out of 188 total, well under 10% of content. || Morphological description depth (25%) | 3 | The Pardosa entries consist almost entirely of brief locality/specimen records with minimal morphological commentary (e.g., ""Mittelplatte der Epigyne beim Ausgang etwas breiter""); detailed morphological descriptions with measurements exist in the document but are for other genera (Drassodes, Xerolycosa, etc.), not Pardosa. || Genital figure quality (20%) | 2 | No figure captions reference genital structures of Pardosa; the figures with captions for genital structures (vulva, epigyne) belong to Acantholycosa, Zelotes, Gnaphosa, and linyphiid genera — none to Pardosa. || Taxonomic originality (15%) | 1 | No new Pardosa species are described; the two Pardosa species recorded are known taxa with only brief remarks on minor morphological variation from European specimens. || Supporting data (10%) | 5 | Locality data for all species including Pardosa is given in a structured format with collection numbers, altitudes, dates, and specimen counts, constituting a formal examined-specimens list, though no distribution maps or molecular data are present. || Text/OCR quality (5%) | 9 | Garbled ratio is 0.0, force_ocr is false, and chunk text reads cleanly with only minor historical typographic conventions (ß, umlauts); fully extractable modern digital PDF. |### Final ScoreWeighted total: (3×0.25) + (3×0.25) + (2×0.20) + (1×0.15) + (5×0.10) + (9×0.05)= 0.75 + 0.75 + 0.40 + 0.15 + 0.50 + 0.45 = **3.00**Category: **2**"
Pardosa_adustella,Odenwall_E_1901_Araneae_nonnullae_Sibiriae_transbaicalensis,6.95,3,ok,"## Odenwall_E_1901_Araneae_nonnullae_Sibiriae_transbaicalensis.pdf### Dimension Scores| Dimension | Score | Justification ||---|---|---|| Pardosa relevance (25%) | 9 | The document is entirely focused on Lycosa (= Pardosa) species from Transbaikal Siberia, with all species descriptions and the checklist devoted to this genus. || Morphological description depth (25%) | 6 | Detailed quantitative measurements (body length, all leg segments in mm, palpus length) are provided for each new species alongside descriptive morphological prose covering carapace, abdomen, sternum, chelicerae, eye arrangement, and epigyne structure, but the vocabulary is early 20th-century Latin and lacks the modern terminological depth (embolus, tegular apophysis, spermathecae, vulva, etc.) required for a higher score. || Genital figure quality (20%) | 6 | The figure list (Explicatio figurarum) confirms epigyne illustrations for at least 6 species (plumipes, tesquorum, foveata, ricta, adusta, Selengensis, lyrata) and male palp figures for plumipes, incilis, and lyrata, but no multi-view series (ventral/dorsal/lateral) are indicated — coverage is primarily single-view epigynes and single-view palps. || Taxonomic originality (15%) | 8 | Six new Lycosa species are described (tesquorum, foveata, ricta, incilis, adusta, Selengensis, lyrata = 7), all now placed in Pardosa, with full morphological diagnoses and comparisons to related taxa. || Supporting data (10%) | 4 | Locality data (specific villages along the Selenga River) are mentioned in prose within each description, but there is no structured specimen list, distribution table, or map. || Text/OCR quality (5%) | 8 | garbled_ratio = 0.0, force_ocr = false; text is clean and fully legible Latin, with only minor OCR artifacts in special characters. |### Final ScoreWeighted total: (9×0.25) + (6×0.25) + (6×0.20) + (8×0.15) + (4×0.10) + (8×0.05)= 2.25 + 1.50 + 1.20 + 1.20 + 0.40 + 0.40 = **6.95**Category: **3**"
